Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.036573704,0.03378536,0.045573659,0.051518377,0.041655394,0.060418781,0.066583291,0.065312346,0.128416559,0.171862421,0.243614036,0.29650624,0.259295334,0.18562366,0.146235617,0.172896741
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.026213109,1.055495882,1.232378783,1.338984981,1.404058688,1.338209399,1.339995739,1.39393137,1.384311249,1.441493562,1.527623663,1.66942319,1.50324046,1.533630039,1.668337371,1.60377515
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.578744484,2.50067461,2.586712195,2.733373662,2.737354064,2.841351373,2.966914681,3.007289846,3.102451083,3.174573294,3.173654529,3.294742583,3.609307651,3.644979345,3.795632251,3.933495912
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.952286282,7.721549062,7.566239884,7.24241557,7.344262326,7.353780012,6.790542773,6.53104692,6.439303857,6.156687476,6.157197775,5.850886105,5.944654173,5.942800412,5.807127723,6.026181822
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.988077383,0.941828905,0.895577672,0.924869437,0.930262948,0.813539291,0.821840076,0.811753508,0.888658009,0.939403983,0.976184198,0.985522312,0.950695879,1.036293852,1.099779111,1.13504405
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,4.341705369,4.532974149,4.980969957,5.169522468,4.978406237,5.033021488,5.319470442,5.474300638,5.621003692,16.02434762,5.56628433,6.050420408,7.74276315,5.136050692,5.185713244,5.236665308
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.587392038,3.360371185,3.117424829,3.351723713,3.672973996,3.753639235,3.94249129,4.102629636,4.172388531,3.867569967,4.099689714,4.280989353,4.264223782,4.342115069,4.209095633,4.301913876
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,1.159761363,1.180062452,1.028353516,1.159732241,1.25303469,1.496010763,1.51776299,1.773161431,1.956930356,1.561583601,1.508351244,1.71734338,1.983192027,1.89812717,1.881607737,1.825292244
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,17.7230721,17.80456395,17.9819247,17.72168373,18.17472687,18.14629201,18.14145349,18.52109701,18.30374802,18.22309955,17.59006927,17.29541584,17.02204223,16.44231571,15.83042152,15.863288
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.929785513,8.444109161,8.583317475,9.168343908,9.2756141,9.26611356,8.961569195,8.587801761,8.49967402,7.721143982,8.365014901,8.135474381,7.723614487,7.753699576,7.260404228,7.317158873
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,3.440349875,3.254758852,3.203641763,3.469717358,3.408174257,3.579663711,3.593590676,3.219791775,3.474678865,2.850039951,2.684902593,2.973918764,3.239102868,3.285616903,3.38119922,3.292452869
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,7.48209163,7.335981336,7.800895463,7.600847317,7.055658167,6.495345193,6.34379729,6.28358498,6.401303677,17.64874164,5.860211203,7.147167506,9.763986436,7.653297299,6.799325412,5.905932758
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,23.8937121,23.49652355,23.42410876,23.03816133,21.60641891,23.26923202,23.46563028,22.20240095,22.21335064,20.8594387,20.92896507,20.35750059,20.90093256,21.93867997,22.66343283,22.29101801
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.169593942,0.198172464,0.207053129,0.212401957,0.222868797,0.235263641,0.254752395,0.266296791,0.288141386,0.306664813,0.342739986,0.364566595,0.384025166,0.396697028,0.413092687,0.461997426
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,4.567034116,4.807445302,5.010551434,5.030419439,4.940370507,5.138969156,5.297774677,5.310350587,6.358369012,16.43502256,5.4939016,6.219366934,7.472734688,5.065179206,4.458878192,4.451033309
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,5.304816521,5.225335545,5.254649833,5.379335611,5.759420354,5.875465459,6.15517613,6.029733806,6.352864617,6.03919199,6.50264283,6.18814293,6.344981391,6.352712195,6.29728587,5.79426692
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,11.43958054,11.50432068,10.72798848,11.13131453,10.94122423,10.55578237,10.30057207,9.843115874,9.984152183,9.231701273,9.794792242,8.740505152,8.577525877,8.655477512,8.041711215,8.437851999
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belize,BLZ,1.819578666,2.077877272,1.981805428,1.892898995,1.591227985,1.656107509,1.750544009,1.772391396,1.62960935,4.640002664,1.736622587,2.028852144,1.982242705,1.330606578,1.358364951,1.884042732
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.206817822,0.245876343,0.298818443,0.324444105,0.341935364,0.363307326,0.422300744,0.473104595,0.46223287,0.494146663,0.525042566,0.491500279,0.456355652,0.467785082,0.50452817,0.520992816
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
