Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,683.2948063,709.0914831,730.808966,786.4144235,804.1073343,890.6259238,862.4295937,894.2845864,947.2913284,866.3073024,1016.636782,1123.332915,1237.966109,1278.915242,1362.871884,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,75.26465988,82.61657065,86.01883921,95.85311396,87.53534066,109.2952187,144.7153225,133.2672578,172.3848981,189.2577043,206.4544017,207.0133514,219.2534827,280.2144821,312.2288945,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,2088.80763,2120.580398,2014.476878,2180.326931,2293.309488,2408.432958,2374.097592,2455.656081,2772.843291,2730.123367,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,1297.564469,1269.222726,1236.331467,1320.437994,1440.32339,1521.50331,1639.79257,1773.161496,1669.409464,1661.303268,1726.262758,1807.034572,1892.006869,1931.258117,1961.610395,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Australia,AUS,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,..
